[2016-04-16 10:56:56,976][DEBUG][org.jboss.logging] Logging Provider: org.jboss.logging.Log4jLoggerProvider
[2016-04-16 10:56:58,403][INFO][com.zaxxer.hikari.HikariDataSource] HikariPool-0 - is starting.
[2016-04-16 10:56:59,121][INFO][luminus.http-server] starting HTTP server on port 3000
[2016-04-16 10:56:59,221][INFO][org.xnio] XNIO version 3.4.0.Beta1
[2016-04-16 10:56:59,377][INFO][org.xnio.nio] XNIO NIO Implementation Version 3.4.0.Beta1
[2016-04-16 10:56:59,510][INFO][org.projectodd.wunderboss.web.Web] Registered web context /
[2016-04-16 10:56:59,522][INFO][luminus.repl-server] starting nREPL server on port 7000
[2016-04-16 10:56:59,555][INFO][dotted-line.core] #'dotted-line.config/env started
[2016-04-16 10:56:59,556][INFO][dotted-line.core] #'dotted-line.db.core/*db* started
[2016-04-16 10:56:59,557][INFO][dotted-line.core] #'dotted-line.core/http-server started
[2016-04-16 10:56:59,557][INFO][dotted-line.core] #'dotted-line.core/repl-server started
[2016-04-16 10:56:59,558][INFO][dotted-line.env] 
-=[dotted-line started successfully using the development profile]=-
[2016-04-16 10:57:22,027][INFO][luminus.repl-server] nREPL server stopped
[2016-04-16 10:57:22,034][DEBUG][org.projectodd.wunderboss.WunderBoss] Returning existing component for org.projectodd.wunderboss.web.Web:-1645144552, ignoring options.
[2016-04-16 10:57:22,057][INFO][luminus.http-server] HTTP server stopped
[2016-04-16 10:57:22,058][INFO][com.zaxxer.hikari.pool.HikariPool] HikariPool-0 - is closing down.
[2016-04-16 10:57:22,068][INFO][dotted-line.core] #'dotted-line.core/repl-server stopped
[2016-04-16 10:57:22,069][INFO][dotted-line.core] #'dotted-line.core/http-server stopped
[2016-04-16 10:57:22,069][INFO][dotted-line.core] #'dotted-line.db.core/*db* stopped
[2016-04-16 11:27:22,167][DEBUG][org.jboss.logging] Logging Provider: org.jboss.logging.Log4jLoggerProvider
[2016-04-16 11:27:23,898][INFO][com.zaxxer.hikari.HikariDataSource] HikariPool-0 - is starting.
[2016-04-16 11:27:24,583][INFO][luminus.http-server] starting HTTP server on port 3000
[2016-04-16 11:27:24,707][INFO][org.xnio] XNIO version 3.4.0.Beta1
[2016-04-16 11:27:24,910][INFO][org.xnio.nio] XNIO NIO Implementation Version 3.4.0.Beta1
[2016-04-16 11:27:25,101][INFO][org.projectodd.wunderboss.web.Web] Registered web context /
[2016-04-16 11:27:25,103][INFO][luminus.repl-server] starting nREPL server on port 7000
[2016-04-16 11:27:25,174][INFO][dotted-line.core] #'dotted-line.config/env started
[2016-04-16 11:27:25,182][INFO][dotted-line.core] #'dotted-line.db.core/*db* started
[2016-04-16 11:27:25,182][INFO][dotted-line.core] #'dotted-line.core/http-server started
[2016-04-16 11:27:25,183][INFO][dotted-line.core] #'dotted-line.core/repl-server started
[2016-04-16 11:27:25,184][INFO][dotted-line.env] 
-=[dotted-line started successfully using the development profile]=-
[2016-04-16 11:29:25,176][INFO][luminus.repl-server] nREPL server stopped
[2016-04-16 11:29:25,181][DEBUG][org.projectodd.wunderboss.WunderBoss] Returning existing component for org.projectodd.wunderboss.web.Web:-1645144552, ignoring options.
[2016-04-16 11:29:25,213][INFO][luminus.http-server] HTTP server stopped
[2016-04-16 11:29:25,214][INFO][com.zaxxer.hikari.pool.HikariPool] HikariPool-0 - is closing down.
[2016-04-16 11:29:25,220][INFO][dotted-line.core] #'dotted-line.core/repl-server stopped
[2016-04-16 11:29:25,221][INFO][dotted-line.core] #'dotted-line.core/http-server stopped
[2016-04-16 11:29:25,221][INFO][dotted-line.core] #'dotted-line.db.core/*db* stopped
